term,dv_cand_polz,iv_cand_pref_n,iv_cdv_diff_c1,iv_cdv_val_c2,iv_prox_sup,iv_prox_sup_alt,iv_triv,cov_pre_polz,cov_party3_n,party_strength,cov_pk,cov_edu_recode_n,cov_expect_n,cov_voted_n,cov_days,cand_change_dem,cand_change_gop,pref_switch,voted_early,demog_age
dv_cand_polz,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
iv_cand_pref_n,-0.1188264610198039,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
iv_cdv_diff_c1,-0.2637711440596238,-0.1913174723735277,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
iv_cdv_val_c2,-0.01752902845350739,-0.026151205706844156,0.11471719159980706,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
iv_prox_sup,0.05894251292220842,-0.39931860935132935,0.015340800270278404,0.005744952271927529,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
iv_prox_sup_alt,0.037161832334986385,-0.10273553817507518,0.12020318713227802,-0.05823344525658054,0.04605717048638586,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
iv_triv,0.06365761814045513,-0.17456825605745316,0.2508258133316313,0.05704616113373395,0.05408506862694147,0.22034171847948072,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
cov_pre_polz,-0.35736879091815316,-0.1905012576011036,0.6987041388582217,0.07214230753269656,0.0012166862559748785,0.1778730611338412,0.36258747511676387,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
cov_party3_n,-0.06546050697892551,0.30489885002572664,-0.0617074723187439,0.01070400823559128,-0.15519605686447271,-0.12275920409464984,-0.04985339514627925,-0.07287503494555278,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
party_strength,-0.037670870855319165,-0.03925411461699075,0.19031899410388475,0.08747744053939085,-0.01603139099483327,0.06283969725244452,0.21942111818327567,0.35032634010076175,-0.01956862494755196,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
cov_pk,0.0026232045588897826,-0.07831904036919056,0.08499707031797717,-0.05044211970270056,0.06976110178843868,0.156883906691508,0.16141151383525432,0.10472961744056238,-0.037426580107654206,0.008538866657731094,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
cov_edu_recode_n,0.025680145355715868,-0.1287813687869065,0.07227823508397138,-0.07428617376628659,0.07309061276169769,0.23695172139931664,0.1275737761644805,0.051888044530742423,-0.07610061414829256,-0.0254949753485679,0.3013201274071284,NA,NA,NA,NA,NA,NA,NA,NA,NA
cov_expect_n,-0.1065364176155535,0.7275231481860568,-0.09635113488757187,-0.0016205018274910862,-0.4362228693769323,-0.03934431547383015,-0.11326120644450617,-0.09329304954093387,0.2789904713699301,-0.0021466850029292226,-0.04505706470064657,-0.06962211688440834,NA,NA,NA,NA,NA,NA,NA,NA
cov_voted_n,0.06658883323244182,-0.12129945346280098,0.14046196669643332,-0.003174681192150024,0.025730500593005242,0.2014412379037721,0.2501129471094706,0.17426825458153647,-0.010365679207086038,0.05833714394905962,0.1666976421061647,0.2107906975859749,-0.033553836386554216,NA,NA,NA,NA,NA,NA,NA
cov_days,-0.010738737166456956,0.020239937279490756,-0.007343522900423444,0.03419133348903472,-0.01975389845477672,-0.061628550922384256,-0.014625952544378863,-0.0063618806304702345,0.047017195078926065,-0.015363867752414063,-0.037488528234001894,-0.06155124864562715,0.007635428267767593,-0.04669166545423868,NA,NA,NA,NA,NA,NA
cand_change_dem,0.07512638229031313,-0.017314851243866964,-0.02890167839229677,-0.2570113885152145,-0.006244246260205038,0.0012132089161515,0.006754998115729363,-0.04910544938303932,-0.011151537836958091,-0.020993945862578873,-0.016070505461162763,0.015417203429284671,-0.014683730347677037,0.006115351131739352,-0.028306476433611425,NA,NA,NA,NA,NA
cand_change_gop,0.017092361361041322,0.020290247291511042,-0.0385126644124402,-0.24133625902344533,0.013395816707409648,0.0037035954060467445,-0.003321454854961966,-0.03203752795413746,-0.0387023331152479,-0.006907949652666098,-0.006792058113988253,-0.02694568855271152,0.00902213044460579,-0.01904810090931214,0.009978811741661962,-0.11886897509669116,NA,NA,NA,NA
pref_switch,0.024647554867364047,-0.099457500992558,0.1443727679543946,-0.028713267873823698,0.016380730914544183,0.05359307141220658,0.08683358585889416,0.173765641802318,-0.03575663991488556,0.05638623904686231,0.04895872733639524,0.03215566748322332,-0.05274928774002322,0.011703151472533369,-0.006371223174411627,-0.030932844986683066,0.036212162837040866,NA,NA,NA
voted_early,-0.024870768500800524,-0.07349816236641295,0.027936066161217958,0.0073970166667843736,0.04489199556356835,0.006645236305519256,0.037140965120162225,0.05765791913155227,-0.035410556019607006,0.05343217117113065,0.003799759730619234,0.0054258812622943195,-0.05072590115855287,-0.3091041553440483,0.04090439985422813,-0.011883094254633549,0.017277521432415965,0.007321247378419551,NA,NA
demog_age,-0.02044448724720357,-0.046014123271966655,0.11505544773061356,0.10700724627227469,0.024006572171018394,-0.054595077230029126,0.21365313421537707,0.18269973589720614,0.08502375916075958,0.14898507583190918,0.20547771568920883,0.010961139898642008,-0.02614146546977711,0.13990399488309746,0.007982532862350521,-0.0603549928421596,-0.03003638698035087,0.03368441514681155,0.05435023685928306,NA
